Entity,Code,Year,"Meat, game | 00001163 || Production | 005510 || tonnes","Meat, horse | 00001097 || Production | 005510 || tonnes","Meat, camel | 00001127 || Production | 005510 || tonnes","Meat, sheep and goat | 00001807 || Production | 005510 || tonnes","Meat, beef and buffalo | 00001806 || Production | 005510 || tonnes","Meat, pig | 00001035 || Production | 005510 || tonnes","Meat, poultry | 00001808 || Production | 005510 || tonnes"
Afghanistan,AFG,1961,4000,,3600,73220,43000,,5600
Afghanistan,AFG,1962,4000,,4030.74,72375,45800,,6000
Afghanistan,AFG,1963,5000,,5031.36,75530,47250,,6160
Afghanistan,AFG,1964,5000,,4680,79750,48000,,6400
Afghanistan,AFG,1965,6000,,4320,84375,48700,,6800
Afghanistan,AFG,1966,6000,,4320,89690,68000,,7200
Afghanistan,AFG,1967,7000,,4320,100312,65000,,7600
Afghanistan,AFG,1968,7000,,4320,111312,71000,,8000
Afghanistan,AFG,1969,7000,,4320,106312,75000,,9600
Afghanistan,AFG,1970,7000,,4320,106200,62000,,9600
Afghanistan,AFG,1971,8000,,4356,107312,62000,,9600
Afghanistan,AFG,1972,8000,,4356,88000,61000,,9600
Afghanistan,AFG,1973,8200,,4356,99550,63000,,10000
Afghanistan,AFG,1974,8400,,4356,106550,62000,,10000
Afghanistan,AFG,1975,8600,,4428,113500,61000,,10400
Afghanistan,AFG,1976,8800,,4428,136500,62300,,10400
Afghanistan,AFG,1977,10500,,4428,137260,66000,,10800
Afghanistan,AFG,1978,9600,,5400,141260,67000,,11200
Afghanistan,AFG,1979,9700,,3978,138040,71000,,12000
Afghanistan,AFG,1980,10000,,3870,145940,67000,,12000
Afghanistan,AFG,1981,9000,,3870,152500,68000,,12400
Afghanistan,AFG,1982,9000,,3870,154280,69000,,12400
Afghanistan,AFG,1983,8500,,3960,144461,68000,,12560
Afghanistan,AFG,1984,7500,,3960,133681,68000,,12800
Afghanistan,AFG,1985,6000,,3960,118000,68000,,12960
Afghanistan,AFG,1986,4500,,2520,106700,68000,,13120
Afghanistan,AFG,1987,5000,,2700,113780,70000,,12960
Afghanistan,AFG,1988,6000,,2880,120860,71000,,12800
Afghanistan,AFG,1989,7000,,3060,127940,71000,,12560
Afghanistan,AFG,1990,8000,,3240,144992,86400,,12400
Afghanistan,AFG,1991,7944.94,,3240,137300,86400,,12160
Afghanistan,AFG,1992,7942.78,,3240,132980,86400,,12000
Afghanistan,AFG,1993,7940.62,,3240,131600,97200,,11840
Afghanistan,AFG,1994,7938.46,,3240,134200,113400,,11600
Afghanistan,AFG,1995,7936.31,,3240,133600,130000,,12320
Afghanistan,AFG,1996,7934.15,,3420,144800,143000,,13040
Afghanistan,AFG,1997,7931.99,,3600,159600,156000,,14000
Afghanistan,AFG,1998,7929.83,,3780,174100,171000,,15040
Afghanistan,AFG,1999,7927.64,,3960,192100,149000,,14000
Afghanistan,AFG,2000,7925.49,,3960,169700,126000,,13200
Afghanistan,AFG,2001,7923.34,,3600,146100,108000,,13120
Afghanistan,AFG,2002,7921.19,,3600,118800,150000,,24000
Afghanistan,AFG,2003,7919.03,,3600,121700,137000,,28400
Afghanistan,AFG,2004,7916.88,,3960,131000,149300,,30800
Afghanistan,AFG,2005,7914.73,,3780,133500,141100,,32320
Afghanistan,AFG,2006,7700,,3600,119400,117300,,24400
Afghanistan,AFG,2007,8000,,3780,100860,137000,,17600
Afghanistan,AFG,2008,8000,,3780,128480,133000,,20800
Afghanistan,AFG,2009,8000,,3960,137380,135000,,20000
Afghanistan,AFG,2010,8000,,3960,157200,131000,,28000
Afghanistan,AFG,2011,8000,,3564,160500,138000,,25600
Afghanistan,AFG,2012,8000,,3600,155200,139000,,24800
Afghanistan,AFG,2013,8000,,3510,150200,134000,,26400
Afghanistan,AFG,2014,7987.29,,3565.85,154112.66,120544.58,,24809.32
Afghanistan,AFG,2015,7992.35,,3597.44,155194.45,111438.28,,24558.74
Afghanistan,AFG,2016,7989.41,,3591.95,152124.56,107532.88,,24297.68
Afghanistan,AFG,2017,7990.49,,3648.22,158190.05,115754.24,,27637.84
Afghanistan,AFG,2018,7996.96,,3675.44,159250.77,92930.79,,29434.79
Afghanistan,AFG,2019,8003.05,,3660.33,123656.72,96928.22,,27877.47
Afghanistan,AFG,2020,8006.74,,3679.93,157530.33,115399.94,,27753.95
Afghanistan,AFG,2021,8010.44,,3690.06,157143.6,115281.85,,28029.23
Africa,,1961,388610,8306.4,55509.3,711199,1858073,184915.14,353474
Africa,,1962,393040,8961.45,57966.1,713332,1866217,190929.9,369685
Africa,,1963,400520,8846.95,63300.4,711609,1928920,195043.5,382366
Africa,,1964,417390,9528.35,65250.95,731764,2002545,206641.56,403618
Africa,,1965,424230,10260.8,71654.5,770417,2047855,212581.62,422747
Africa,,1966,428320,9780.85,74676.75,804950,2105302,217894.4,451992
Africa,,1967,447320,10070.95,73575.75,827545,2097040,232147.83,481396
Africa,,1968,461190,10525.5,75109.15,876039,2148473,239928.88,509412
Africa,,1969,464810,10330.9,77263.3,920106,2241087,257229.45,553460
